,response,distributions,probable_topic,topic_probability
59,"['massive', 'shift', 'onlinelearning', 'sharing', 'product', 'review', 'commission', '.@canvaslms', 'TWITTER_HANDLE', 'emeritus', 'TWITTER_HANDLE', 'faculty', 'education', 'expert', 'researcher', 'onlineteaching', 'blendedlearning']","[(0, 0.2002488), (1, 0.03545077), (2, 0.3408856), (3, 0.35236102), (4, 0.07105386)]",,
60,"['designing', 'distance', 'learning', 'curriculum', 'idea', 'philosophical', 'chair', 'using', 'blend', 'canvas', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'blendedlearning', 'aisdproud', 'thisisavid', 'virtualschool', 'distancelearning', 'wicor', 'philosophicalchairs', 'canvas']","[(0, 0.3407863), (1, 0.022272613), (2, 0.3708084), (3, 0.22147766), (4, 0.044655036)]",,
61,"['designing', 'distance', 'learning', 'curriculum', 'idea', 'philosophical', 'chair', 'using', 'blend', 'canvas', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'blendedlearning', 'aisdproud', 'thisisavid', 'virtualschool', 'distancelearning', 'wicor', 'philosophicalchairs', 'canvas']","[(0, 0.34078726), (1, 0.022272611), (2, 0.37080744), (3, 0.22147764), (4, 0.044655036)]",,
62,"['blendedlearning', 'elearning', 'remotelearning', 'course', 'reality', 'challenge', 'TWITTER_HANDLE', 'user', 'look', 'TWITTER_HANDLE', 'teacher', 'canvasfam']","[(0, 0.2351414), (1, 0.20090112), (2, 0.2515288), (3, 0.25999948), (4, 0.05242917)]",,
63,"['TWITTER_HANDLE', 'TWITTER_HANDLE', 'advocate', 'blend', 'learning', 'years', 'TWITTER_HANDLE', 'professional', 'service', 'training', 'teacher', 'years', 'provide', 'canvas', 'school', 'resource', 'ready', 'service', 'middle']","[(0, 0.27570003), (1, 0.09664829), (2, 0.28732535), (3, 0.2956979), (4, 0.044628415)]",,
64,"['spring', 'break', 'currently', 'pivot', 'online', 'support', 'monday', 'using', 'canvas', 'teach', 'online', 'adjunct', 'local', 'university', 'blend', 'learning', 'classroom', 'years', 'ellchat']","[(0, 0.3115779), (1, 0.026157664), (2, 0.34983373), (3, 0.08523738), (4, 0.22719331)]",,
65,"['alright', 'first', 'assignment', 'canvas', 'geometry', 'student', 'tomorrow', 'teacherlife', 'blendedlearning', 'shutdown']","[(0, 0.28581917), (1, 0.03169718), (2, 0.51567316), (3, 0.10327955), (4, 0.06353093)]",,
66,"['teacher', 'flippedclassroom', 'edtech', 'blendedlearning', 'canvasfam', 'onlinelearning', 'linelearning']","[(0, 0.36148325), (1, 0.040213034), (2, 0.3866783), (3, 0.13102657), (4, 0.08059885)]",,
67,"['subscribe', 'christensen', 'institute', 'always', 'terrific', 'article', 'blend', 'online', 'learning', 'favorite', 'things', 'TWITTER_HANDLE', 'make', 'easy', 'teacher', 'student', 'blendedlearning', 'onlinelearning', 'canvasfam']","[(0, 0.40989703), (1, 0.026157618), (2, 0.2515251), (3, 0.17261101), (4, 0.1398092)]",,
68,"['2nite', 'accelerate', 'meeting', 'early', 'adopter', 't&amp', 'create', 'blend', 'professional', 'development', 'course', 'teacher', 'using', 'TWITTER_HANDLE', 'help', 'possible', 'amaze', 'canvasfam', 'blendedlearning', 'blendedpd']","[(0, 0.37992465), (1, 0.031697094), (2, 0.31565621), (3, 0.20919147), (4, 0.06353053)]",,
