,response,distributions,probable_topic,topic_probability
61,"['first', 'zoomuniversity', 'professor', 'mostly', 'convert', 'class', 'synchronous', 'asynchronous', 'activity', 'record', 'upload', 'lecture', 'panopto', 'student', 'discussion', 'questions/', 'point', 'discus']","[(0, 0.26311776), (1, 0.03715434), (2, 0.019719673), (3, 0.31711102), (4, 0.27922913), (5, 0.031838756), (6, 0.05182931)]",,
62,"['zoomcall', 'fellow', 'school', 'leaders', 'paneldiscussion', 'webinar', 'TWITTER_HANDLE', 'remotelearning', 'synchronous', 'learning', 'asynchronous', 'learning', 'deliberate', 'protocol', 'online', 'assessment', 'training', 'TWITTER_HANDLE', 'panelist', 'share', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'journey', 'TWITTER_HANDLE']","[(0, 0.010617075), (1, 0.014591398), (3, 0.012323946), (5, 0.23560558), (6, 0.71145)]",,
63,"['TWITTER_HANDLE', 'twice', 'minute', 'window', 'class', 'teacher', 'zoom', 'asynchronous', 'catholicedchat']","[(0, 0.027204523), (1, 0.03728166), (2, 0.019719813), (3, 0.03158475), (4, 0.01976533), (5, 0.03188117), (6, 0.83256274)]",,
64,"['TWITTER_HANDLE', 'student', 'asking', 'class', 'would', 'normally', 'asynchronous', 'online', 'means', 'teacher', 'prepare', 'support', 'asynchronous', 'experience', 'zoom']","[(0, 0.015273813), (1, 0.020919887), (2, 0.011072439), (3, 0.89244086), (4, 0.011098017), (5, 0.017893199), (6, 0.031301748)]",,
65,"['teach', 'class', 'tonight', 'asynchronous', 'anticipate', 'teaching', 'first', 'class', 'online', 'change', 'whole', 'personality', 'though', 'never', 'teach', 'better', 'academicchatter', 'academictwitter', 'zoomuniversity']","[(0, 0.19400412), (1, 0.0245431), (2, 0.25796673), (3, 0.28510737), (4, 0.18311395), (5, 0.020937547), (6, 0.034327127)]",,
66,"['TWITTER_HANDLE', 'saying', 'enough', 'today', 'hubby', 'online', 'college', 'class', 'video', 'zoom', 'three', 'zoom', 'unsatisfied', 'happy', 'design', 'weekly', 'activity', 'asynchronous']","[(0, 0.017900398), (1, 0.02449746), (2, 0.012967984), (3, 0.020781694), (4, 0.01299789), (5, 0.020942654), (6, 0.88991195)]",,
67,"['TWITTER_HANDLE', 'saying', 'enough', 'today', 'hubby', 'online', 'college', 'class', 'video', 'zoom', 'three', 'zoom', 'unsatisfied', 'happy', 'design', 'weekly', 'activity', 'asynchronous']","[(0, 0.01790041), (1, 0.024497528), (2, 0.012967986), (3, 0.020788679), (4, 0.012997891), (5, 0.02094266), (6, 0.8899048)]",,
68,"['try', 'record', 'video', 'introduction', 'course', 'change', 'interrupt', 'asynchronous', 'choice', 'bless', 'zoomuniversity', 'academictwitter']","[(0, 0.38869205), (1, 0.05022336), (2, 0.026660003), (3, 0.042659517), (4, 0.026721675), (5, 0.39450163), (6, 0.070541784)]",,
69,"['TWITTER_HANDLE', 'TWITTER_HANDLE', 'surprise', 'limit', 'zoom', 'class', 'better', 'hybrid', 'rural', 'community', 'internet', 'mail', 'lesson', 'learning', 'actually', 'discovery', 'student', 'coaching', 'teacher', 'parent', 'older']","[(0, 0.013325965), (1, 0.018217696), (2, 0.16562285), (3, 0.22660038), (5, 0.19709356), (6, 0.36945686)]",,
70,"['zoomでの授業報告。これ聞きたいなぁ。一斉授業の中で個別指導する場合何か方法はあるんだろうか', 'scholarship', 'research', 'creative', 'college', 'blend', 'learning', 'liberal', 'conference', 'teaching', 'share', 'hybrid', 'online', 'course', 'using']","[(0, 0.027200628), (1, 0.29668212), (2, 0.019719852), (3, 0.03158134), (4, 0.01976529), (5, 0.5524931), (6, 0.052557677)]",,
